Area Name,1939,1988,2011,2015,2021,2031,2039
Barking and Dagenham,184,157,186,205,224,250,271
Barnet,296,290,356,393,415,448,469
Bexley,179,218,232,237,243,254,258
Brent,310,246,311,326,349,375,382
Bromley,237,295,309,320,329,343,351
Camden,301,179,220,230,242,257,267
Croydon,297,314,363,381,401,426,442
Ealing,285,291,338,349,369,392,406
Enfield,272,257,312,322,335,351,360
Greenwich,243,210,255,282,315,347,350
Hackney,332,185,246,263,284,307,323
Hammersmith and Fulham,259,151,182,190,205,220,231
Haringey,292,200,255,269,285,302,314
Harrow,190,203,239,248,257,271,282
Havering,139,236,237,250,266,283,291
Hillingdon,159,232,274,289,299,311,316
Hounslow,196,193,254,264,277,296,307
Islington,343,165,206,221,237,253,266
Kensington and Chelsea,228,135,159,162,168,179,183
Kingston upon Thames,129,132,160,167,176,188,196
Lambeth,391,249,303,320,339,360,389
Lewisham,325,238,276,293,312,334,347
Merton,197,168,200,206,213,222,228
Newham,381,209,308,338,371,420,429
Redbridge,232,219,279,292,312,337,349
Richmond upon Thames,178,160,187,192,196,203,207
Southwark,456,219,288,309,342,368,379
Sutton,167,170,190,196,202,210,215
Tower Hamlets,419,159,254,284,332,373,385
Waltham Forest,286,213,258,271,284,305,319
Wandsworth,358,261,307,323,348,379,392
Westminster,347,172,219,231,244,256,268
